date,vehicle_category,maker,electric_vehicles_sold,monthly_total_sales,maker_share_percent
2023-11-01,4-Wheelers,KIA Motors,29,7042,0.00411814825333712
2023-11-01,4-Wheelers,MG Motor,723,7042,0.10266969610905993
2023-11-01,4-Wheelers,Mahindra and Mahindra,1222,7042,0.1735302470888952
2023-11-01,4-Wheelers,Mercedes-Benz AG,35,7042,0.004970178926441352
2023-11-01,4-Wheelers,PCA Automobiles,98,7042,0.013916500994035786
2023-11-01,4-Wheelers,Tata Motors,4432,7042,0.6293666571996592
2023-11-01,4-Wheelers,Volvo Auto India,57,7042,0.008094291394490201
2023-12-01,2-Wheelers,AMPERE,3309,75494,0.04383129785148489
2023-12-01,2-Wheelers,ATHER,6471,75494,0.085715421093067
2023-12-01,2-Wheelers,BAJAJ,10292,75494,0.13632871486475748
2023-12-01,2-Wheelers,BATTRE ELECTRIC,241,75494,0.0031923066733780168
2023-12-01,2-Wheelers,BGAUSS,1200,75494,0.015895302937981828
2023-12-01,2-Wheelers,HERO ELECTRIC,545,75494,0.007219116751000079
2023-12-01,2-Wheelers,KINETIC GREEN,660,75494,0.008742416615890005
2023-12-01,2-Wheelers,OKAYA EV,700,75494,0.009272260047156065
2023-12-01,2-Wheelers,OKINAWA,953,75494,0.0126235197499139
2023-12-01,2-Wheelers,OLA ELECTRIC,30588,75494,0.40517127188915675
2023-12-01,2-Wheelers,OTHERS,7691,75494,0.10187564574668186
2023-12-01,2-Wheelers,REVOLT,673,75494,0.008914615731051474
2023-12-01,2-Wheelers,TVS,12171,75494,0.16121811004848066
2023-12-01,4-Wheelers,BMW India,137,7191,0.01905159226811292
2023-12-01,4-Wheelers,BYD India,135,7191,0.01877346683354193
2023-12-01,4-Wheelers,Hyundai Motor,97,7191,0.013489083576693088
2023-12-01,4-Wheelers,KIA Motors,23,7191,0.0031984424975664023
2023-12-01,4-Wheelers,MG Motor,753,7191,0.1047142261159783
2023-12-01,4-Wheelers,Mahindra and Mahindra,1015,7191,0.1411486580447782
2023-12-01,4-Wheelers,Mercedes-Benz AG,51,7191,0.0070921985815602835
2023-12-01,4-Wheelers,PCA Automobiles,40,7191,0.00556250869141983
2023-12-01,4-Wheelers,Tata Motors,4893,7191,0.6804338756779308
2023-12-01,4-Wheelers,Volvo Auto India,47,7191,0.006535947712418301
2024-01-01,2-Wheelers,AMPERE,2505,81343,0.03079552020456585
2024-01-01,2-Wheelers,ATHER,9244,81343,0.11364223104631006
2024-01-01,2-Wheelers,BAJAJ,10753,81343,0.13219330489409045
2024-01-01,2-Wheelers,BATTRE ELECTRIC,284,81343,0.003491388318601478
2024-01-01,2-Wheelers,BGAUSS,1469,81343,0.018059329014174546
2024-01-01,2-Wheelers,HERO ELECTRIC,413,81343,0.005077265406980318
2024-01-01,2-Wheelers,KINETIC GREEN,810,81343,0.009957832880518299
2024-01-01,2-Wheelers,OKAYA EV,574,81343,0.0070565383622438315
2024-01-01,2-Wheelers,OKINAWA,675,81343,0.008298194067098582
2024-01-01,2-Wheelers,OLA ELECTRIC,32275,81343,0.39677661261571373
2024-01-01,2-Wheelers,OTHERS,6664,81343,0.08192468927873327
2024-01-01,2-Wheelers,REVOLT,524,81343,0.00644185732023653
2024-01-01,2-Wheelers,TVS,15153,81343,0.18628523659073307
2024-01-01,4-Wheelers,BMW India,116,7968,0.014558232931726908
2024-01-01,4-Wheelers,BYD India,123,7968,0.015436746987951807
2024-01-01,4-Wheelers,Hyundai Motor,128,7968,0.01606425702811245
2024-01-01,4-Wheelers,KIA Motors,29,7968,0.003639558232931727
2024-01-01,4-Wheelers,MG Motor,908,7968,0.11395582329317269
2024-01-01,4-Wheelers,Mahindra and Mahindra,896,7968,0.11244979919678715
2024-01-01,4-Wheelers,Mercedes-Benz AG,29,7968,0.003639558232931727
2024-01-01,4-Wheelers,PCA Automobiles,23,7968,0.0028865461847389557
2024-01-01,4-Wheelers,Tata Motors,5674,7968,0.7120983935742972
2024-01-01,4-Wheelers,Volvo Auto India,42,7968,0.005271084337349397
2024-02-01,2-Wheelers,AMPERE,2577,81963,0.031441016068225906
2024-02-01,2-Wheelers,ATHER,8957,81963,0.10928101704427608
2024-02-01,2-Wheelers,BAJAJ,11603,81963,0.1415638763832461
2024-02-01,2-Wheelers,BATTRE ELECTRIC,219,81963,0.0026719373375791514
2024-02-01,2-Wheelers,BGAUSS,1334,81963,0.01627563656771958
2024-02-01,2-Wheelers,HERO ELECTRIC,323,81963,0.003940802557251443
2024-02-01,2-Wheelers,KINETIC GREEN,624,81963,0.007613191318033747
2024-02-01,2-Wheelers,OKAYA EV,649,81963,0.007918206995839587
2024-02-01,2-Wheelers,OKINAWA,652,81963,0.007954808877176287
2024-02-01,2-Wheelers,OLA ELECTRIC,33967,81963,0.41441870112123763
2024-02-01,2-Wheelers,OTHERS,6154,81963,0.07508265924868539
2024-02-01,2-Wheelers,REVOLT,473,81963,0.005770896624086478
2024-02-01,2-Wheelers,TVS,14431,81963,0.17606724985664263
2024-02-01,4-Wheelers,BMW India,97,7088,0.01368510158013544
2024-02-01,4-Wheelers,BYD India,135,7088,0.01904627539503386
2024-02-01,4-Wheelers,Hyundai Motor,94,7088,0.013261851015801355
2024-02-01,4-Wheelers,KIA Motors,17,7088,0.0023984198645598193
2024-02-01,4-Wheelers,MG Motor,829,7088,0.11695823927765236
2024-02-01,4-Wheelers,Mahindra and Mahindra,712,7088,0.10045146726862303
2024-02-01,4-Wheelers,Mercedes-Benz AG,24,7088,0.003386004514672686
2024-02-01,4-Wheelers,PCA Automobiles,64,7088,0.009029345372460496
2024-02-01,4-Wheelers,Tata Motors,5081,7088,0.7168453724604966
2024-02-01,4-Wheelers,Volvo Auto India,35,7088,0.004937923250564334
2024-03-01,2-Wheelers,AMPERE,3108,129605,0.02398055630569808
2024-03-01,2-Wheelers,ATHER,17012,129605,0.13126036804135643
2024-03-01,2-Wheelers,BAJAJ,17716,129605,0.13669225724316192
2024-03-01,2-Wheelers,BATTRE ELECTRIC,625,129605,0.0048223448169437905
2024-03-01,2-Wheelers,BGAUSS,3070,129605,0.0236873577408279
2024-03-01,2-Wheelers,HERO ELECTRIC,316,129605,0.002438177539446781
2024-03-01,2-Wheelers,KINETIC GREEN,3915,129605,0.030207167933335905
2024-03-01,2-Wheelers,OKAYA EV,1218,129605,0.009397785579260059
2024-03-01,2-Wheelers,OKINAWA,673,129605,0.005192700898885074
2024-03-01,2-Wheelers,OLA ELECTRIC,44630,129605,0.3443539986883222
2024-03-01,2-Wheelers,OTHERS,10579,129605,0.08162493730951738
2024-03-01,2-Wheelers,REVOLT,585,129605,0.004513714748659388
2024-03-01,2-Wheelers,TVS,26158,129605,0.20182863315458507
2024-03-01,4-Wheelers,BMW India,55,8738,0.006294346532387274
2024-03-01,4-Wheelers,BYD India,142,8738,0.01625085831998169
2024-03-01,4-Wheelers,Hyundai Motor,116,8738,0.013275349050125887
2024-03-01,4-Wheelers,KIA Motors,26,8738,0.002975509269855802
2024-03-01,4-Wheelers,MG Motor,885,8738,0.1012817578393225
2024-03-01,4-Wheelers,Mahindra and Mahindra,708,8738,0.081025406271458
2024-03-01,4-Wheelers,Mercedes-Benz AG,31,8738,0.003547722590981918
2024-03-01,4-Wheelers,PCA Automobiles,130,8738,0.01487754634927901
2024-03-01,4-Wheelers,Tata Motors,6606,8738,0.7560082398718242
2024-03-01,4-Wheelers,Volvo Auto India,39,8738,0.004463263904783703
