date,vehicle_category,maker,electric_vehicles_sold,uuid,year,month,cumulative_sales,segment
2023-04-01,4-Wheelers,PCA Automobiles,181,8fba2918-f523-46ce-8439-101dc0b28cef,2023,April,332,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,BMW India,51,ff8994a2-2341-4394-962a-0e4622542bcd,2023,April,343,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,Mercedes-Benz AG,8,6a946063-73c8-42cc-8631-411f83129746,2023,April,105,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,Volvo Auto India,27,2c8f968f-1d73-4911-8ac5-8dfe47db014f,2023,April,136,Four-Wheeler Manufacturer
2023-04-01,4-Wheelers,KIA Motors,30,2557ee90-674f-4aa7-8219-efd05f23e106,2023,April,259,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,Tata Motors,137,603a7073-6a16-4bc2-bc55-d6daedc1f6bf,2021,May,459,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,MG Motor,39,92733716-3b30-43d6-aa61-cb4f34bdd385,2021,May,157,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,Mahindra and Mahindra,78,992a348b-2a2b-467b-b7f0-366795547db9,2021,May,249,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,Hyundai Motor,3,5b65a0ed-8057-431b-b879-967f1515aadb,2021,May,15,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,Tata Motors,2097,9b8affe7-83c0-4423-ab0b-08c73d96ab2a,2022,May,16214,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,MG Motor,181,732a466b-99d5-4d1a-b577-c0c2fc2a73b4,2022,May,2005,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,Mahindra and Mahindra,622,abb4ff63-229b-42d3-bd68-f44137854dae,2022,May,5275,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,BYD India,30,97f1e3e9-a111-4e37-85eb-6efdfcc6ffb0,2022,May,78,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,Hyundai Motor,19,1027cd55-c86b-4a4d-a17b-5084810f6f0e,2022,May,146,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,BMW India,6,8a39c2b4-aeb8-4dc4-bcb1-cb3e874350dc,2022,May,25,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,Mercedes-Benz AG,4,c857b1df-9b9a-4e8c-abcb-6477750c0e63,2022,May,38,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,Tata Motors,3212,dfe98a74-d823-4db5-a9ff-1b2e3a2c55e4,2023,May,44330,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,MG Motor,351,68cdb5d0-558f-4f30-9119-961517abf247,2023,May,5540,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,Mahindra and Mahindra,3457,db30d1e2-82ab-4fa5-b82f-78aa98199ff1,2023,May,26184,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,BYD India,110,2c0cb349-e1a3-4528-b842-23f9fce7d38e,2023,May,1219,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,Hyundai Motor,129,744a9421-fce6-46d7-a908-e0a9299084b6,2023,May,857,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,PCA Automobiles,245,d7431b35-401b-41de-a267-aade9ede5904,2023,May,577,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,BMW India,57,09c0a42d-673f-4241-9248-f9311ac6449b,2023,May,400,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,Mercedes-Benz AG,9,85a913b9-e221-47a3-ba6c-8ba41011adf7,2023,May,114,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,Volvo Auto India,34,7aa8e143-ec1e-4acc-a56d-3321cc7fe417,2023,May,170,Four-Wheeler Manufacturer
2023-05-01,4-Wheelers,KIA Motors,36,117a7d16-2493-4295-9aff-c6b51740411d,2023,May,295,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,Tata Motors,572,45252136-a9d1-4873-8be1-d452253aa013,2021,June,1031,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,MG Motor,128,e334ee88-0a16-4d83-ac1b-d164ce313b69,2021,June,285,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,Mahindra and Mahindra,106,2253b75f-891b-4bf1-8e7e-d2e0e916e1bd,2021,June,355,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,Hyundai Motor,10,6a743a26-b5f2-400b-b1fa-5c5e9f0e47dd,2021,June,25,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,Mercedes-Benz AG,2,98763a49-597d-412e-85f4-59d2a2de3598,2021,June,5,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,Tata Motors,2169,032dda12-ea0c-4d48-be82-6c079e0f5172,2022,June,18383,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,MG Motor,173,0ac0ba99-a3b3-4b12-89a4-fbf347ff5ce9,2022,June,2178,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,Mahindra and Mahindra,787,2cd1b2a9-4a8b-4d55-9e80-67e98610e3bc,2022,June,6062,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,BYD India,36,7e4ef4f4-bf63-40bb-80d9-9b0738297f31,2022,June,114,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,Hyundai Motor,39,7b53f083-a414-40b5-86a2-732df8940f67,2022,June,185,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,BMW India,4,3e7093ba-fe24-4d22-ba03-e5fc81e6255d,2022,June,29,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,Mercedes-Benz AG,2,025f8379-425a-48f3-9b61-dad501ab973b,2022,June,40,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,Tata Motors,3671,481de178-9178-48fe-bd79-21d25569855a,2023,June,48001,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,MG Motor,877,4c3e4cc0-8518-4944-aafa-2a65029ee8b6,2023,June,6417,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,Mahindra and Mahindra,2574,5c93910e-fcf7-47ed-9fa7-a8a00b4dde2d,2023,June,28758,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,BYD India,140,fdb26c60-18e7-472c-8c1b-75a0401144a4,2023,June,1359,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,Hyundai Motor,121,6de93b2c-1670-462f-aefe-3f7d3a7cf001,2023,June,978,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,PCA Automobiles,254,222649df-5e0c-486d-bfc0-eb3956e2adcf,2023,June,831,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,BMW India,76,2977b347-6d13-4d9d-ad66-2ff934853035,2023,June,476,Four-Wheeler Manufacturer
