date,state,vehicle_category,state_ev_sales,maker,electric_vehicles_sold,monthly_total_sales,maker_share_percent,estimated_ev_sales
2021-04-01,Chhattisgarh,2-Wheelers,36,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Chhattisgarh,2-Wheelers,36,BEING,171,5689,0.03005800667955704,1
2021-04-01,Chhattisgarh,2-Wheelers,36,HERO ELECTRIC,759,5689,0.13341536298119178,5
2021-04-01,Chhattisgarh,2-Wheelers,36,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Chhattisgarh,2-Wheelers,36,OKINAWA,1251,5689,0.21989804886623307,8
2021-04-01,Chhattisgarh,2-Wheelers,36,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Chhattisgarh,2-Wheelers,36,OTHERS,749,5689,0.13165758481279663,5
2021-04-01,Chhattisgarh,2-Wheelers,36,PURE EV,581,5689,0.10212691158375813,4
2021-04-01,Chhattisgarh,2-Wheelers,36,REVOLT,138,5689,0.02425733872385305,1
2021-04-01,Chhattisgarh,2-Wheelers,36,TVS,302,5689,0.05308490068553349,2
2021-04-01,Chhattisgarh,4-Wheelers,0,BMW India,0,626,0.0,0
2021-04-01,Chhattisgarh,4-Wheelers,0,BYD India,0,626,0.0,0
2021-04-01,Chhattisgarh,4-Wheelers,0,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Chhattisgarh,4-Wheelers,0,KIA Motors,0,626,0.0,0
2021-04-01,Chhattisgarh,4-Wheelers,0,MG Motor,118,626,0.18849840255591055,0
2021-04-01,Chhattisgarh,4-Wheelers,0,Mahindra and Mahindra,171,626,0.2731629392971246,0
2021-04-01,Chhattisgarh,4-Wheelers,0,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Chhattisgarh,4-Wheelers,0,PCA Automobiles,0,626,0.0,0
2021-04-01,Chhattisgarh,4-Wheelers,0,Tata Motors,322,626,0.5143769968051118,0
2021-04-01,Chhattisgarh,4-Wheelers,0,Volvo Auto India,0,626,0.0,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,AMPERE,751,5689,0.13200914044647566,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,ATHER,903,5689,0.15872736860608191,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,BEING,171,5689,0.03005800667955704,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,HERO ELECTRIC,759,5689,0.13341536298119178,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,OKINAWA,1251,5689,0.21989804886623307,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,OTHERS,749,5689,0.13165758481279663,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,PURE EV,581,5689,0.10212691158375813,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,REVOLT,138,5689,0.02425733872385305,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,TVS,302,5689,0.05308490068553349,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,BMW India,0,626,0.0,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,BYD India,0,626,0.0,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,KIA Motors,0,626,0.0,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,MG Motor,118,626,0.18849840255591055,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,Mahindra and Mahindra,171,626,0.2731629392971246,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,PCA Automobiles,0,626,0.0,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,Tata Motors,322,626,0.5143769968051118,0
2021-04-01,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,Volvo Auto India,0,626,0.0,0
2021-04-01,Delhi,2-Wheelers,272,AMPERE,751,5689,0.13200914044647566,36
2021-04-01,Delhi,2-Wheelers,272,ATHER,903,5689,0.15872736860608191,43
2021-04-01,Delhi,2-Wheelers,272,BAJAJ,48,5689,0.008437335208296712,2
2021-04-01,Delhi,2-Wheelers,272,BEING,171,5689,0.03005800667955704,8
2021-04-01,Delhi,2-Wheelers,272,HERO ELECTRIC,759,5689,0.13341536298119178,36
2021-04-01,Delhi,2-Wheelers,272,JITENDRA,36,5689,0.0063280014062225345,2
2021-04-01,Delhi,2-Wheelers,272,OKINAWA,1251,5689,0.21989804886623307,60
2021-04-01,Delhi,2-Wheelers,272,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Delhi,2-Wheelers,272,OTHERS,749,5689,0.13165758481279663,36
2021-04-01,Delhi,2-Wheelers,272,PURE EV,581,5689,0.10212691158375813,28
2021-04-01,Delhi,2-Wheelers,272,REVOLT,138,5689,0.02425733872385305,7
2021-04-01,Delhi,2-Wheelers,272,TVS,302,5689,0.05308490068553349,14
2021-04-01,Delhi,4-Wheelers,61,BMW India,0,626,0.0,0
2021-04-01,Delhi,4-Wheelers,61,BYD India,0,626,0.0,0
2021-04-01,Delhi,4-Wheelers,61,Hyundai Motor,12,626,0.019169329073482427,1
2021-04-01,Delhi,4-Wheelers,61,KIA Motors,0,626,0.0,0
2021-04-01,Delhi,4-Wheelers,61,MG Motor,118,626,0.18849840255591055,11
2021-04-01,Delhi,4-Wheelers,61,Mahindra and Mahindra,171,626,0.2731629392971246,17
2021-04-01,Delhi,4-Wheelers,61,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Delhi,4-Wheelers,61,PCA Automobiles,0,626,0.0,0
2021-04-01,Delhi,4-Wheelers,61,Tata Motors,322,626,0.5143769968051118,31
2021-04-01,Delhi,4-Wheelers,61,Volvo Auto India,0,626,0.0,0
2021-04-01,Goa,2-Wheelers,36,AMPERE,751,5689,0.13200914044647566,5
2021-04-01,Goa,2-Wheelers,36,ATHER,903,5689,0.15872736860608191,6
2021-04-01,Goa,2-Wheelers,36,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Goa,2-Wheelers,36,BEING,171,5689,0.03005800667955704,1
2021-04-01,Goa,2-Wheelers,36,HERO ELECTRIC,759,5689,0.13341536298119178,5
2021-04-01,Goa,2-Wheelers,36,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Goa,2-Wheelers,36,OKINAWA,1251,5689,0.21989804886623307,8
2021-04-01,Goa,2-Wheelers,36,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Goa,2-Wheelers,36,OTHERS,749,5689,0.13165758481279663,5
2021-04-01,Goa,2-Wheelers,36,PURE EV,581,5689,0.10212691158375813,4
2021-04-01,Goa,2-Wheelers,36,REVOLT,138,5689,0.02425733872385305,1
2021-04-01,Goa,2-Wheelers,36,TVS,302,5689,0.05308490068553349,2
2021-04-01,Goa,4-Wheelers,8,BMW India,0,626,0.0,0
2021-04-01,Goa,4-Wheelers,8,BYD India,0,626,0.0,0
2021-04-01,Goa,4-Wheelers,8,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Goa,4-Wheelers,8,KIA Motors,0,626,0.0,0
2021-04-01,Goa,4-Wheelers,8,MG Motor,118,626,0.18849840255591055,2
2021-04-01,Goa,4-Wheelers,8,Mahindra and Mahindra,171,626,0.2731629392971246,2
2021-04-01,Goa,4-Wheelers,8,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Goa,4-Wheelers,8,PCA Automobiles,0,626,0.0,0
2021-04-01,Goa,4-Wheelers,8,Tata Motors,322,626,0.5143769968051118,4
2021-04-01,Goa,4-Wheelers,8,Volvo Auto India,0,626,0.0,0
2021-04-01,Gujarat,2-Wheelers,98,AMPERE,751,5689,0.13200914044647566,13
2021-04-01,Gujarat,2-Wheelers,98,ATHER,903,5689,0.15872736860608191,16
2021-04-01,Gujarat,2-Wheelers,98,BAJAJ,48,5689,0.008437335208296712,1
2021-04-01,Gujarat,2-Wheelers,98,BEING,171,5689,0.03005800667955704,3
2021-04-01,Gujarat,2-Wheelers,98,HERO ELECTRIC,759,5689,0.13341536298119178,13
2021-04-01,Gujarat,2-Wheelers,98,JITENDRA,36,5689,0.0063280014062225345,1
2021-04-01,Gujarat,2-Wheelers,98,OKINAWA,1251,5689,0.21989804886623307,22
2021-04-01,Gujarat,2-Wheelers,98,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Gujarat,2-Wheelers,98,OTHERS,749,5689,0.13165758481279663,13
2021-04-01,Gujarat,2-Wheelers,98,PURE EV,581,5689,0.10212691158375813,10
2021-04-01,Gujarat,2-Wheelers,98,REVOLT,138,5689,0.02425733872385305,2
2021-04-01,Gujarat,2-Wheelers,98,TVS,302,5689,0.05308490068553349,5
2021-04-01,Gujarat,4-Wheelers,44,BMW India,0,626,0.0,0
2021-04-01,Gujarat,4-Wheelers,44,BYD India,0,626,0.0,0
2021-04-01,Gujarat,4-Wheelers,44,Hyundai Motor,12,626,0.019169329073482427,1
2021-04-01,Gujarat,4-Wheelers,44,KIA Motors,0,626,0.0,0
2021-04-01,Gujarat,4-Wheelers,44,MG Motor,118,626,0.18849840255591055,8
2021-04-01,Gujarat,4-Wheelers,44,Mahindra and Mahindra,171,626,0.2731629392971246,12
2021-04-01,Gujarat,4-Wheelers,44,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Gujarat,4-Wheelers,44,PCA Automobiles,0,626,0.0,0
2021-04-01,Gujarat,4-Wheelers,44,Tata Motors,322,626,0.5143769968051118,23
2021-04-01,Gujarat,4-Wheelers,44,Volvo Auto India,0,626,0.0,0
2021-04-01,Haryana,2-Wheelers,101,AMPERE,751,5689,0.13200914044647566,13
2021-04-01,Haryana,2-Wheelers,101,ATHER,903,5689,0.15872736860608191,16
2021-04-01,Haryana,2-Wheelers,101,BAJAJ,48,5689,0.008437335208296712,1
2021-04-01,Haryana,2-Wheelers,101,BEING,171,5689,0.03005800667955704,3
2021-04-01,Haryana,2-Wheelers,101,HERO ELECTRIC,759,5689,0.13341536298119178,13
2021-04-01,Haryana,2-Wheelers,101,JITENDRA,36,5689,0.0063280014062225345,1
2021-04-01,Haryana,2-Wheelers,101,OKINAWA,1251,5689,0.21989804886623307,22
2021-04-01,Haryana,2-Wheelers,101,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Haryana,2-Wheelers,101,OTHERS,749,5689,0.13165758481279663,13
2021-04-01,Haryana,2-Wheelers,101,PURE EV,581,5689,0.10212691158375813,10
2021-04-01,Haryana,2-Wheelers,101,REVOLT,138,5689,0.02425733872385305,2
2021-04-01,Haryana,2-Wheelers,101,TVS,302,5689,0.05308490068553349,5
2021-04-01,Haryana,4-Wheelers,3,BMW India,0,626,0.0,0
2021-04-01,Haryana,4-Wheelers,3,BYD India,0,626,0.0,0
2021-04-01,Haryana,4-Wheelers,3,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Haryana,4-Wheelers,3,KIA Motors,0,626,0.0,0
2021-04-01,Haryana,4-Wheelers,3,MG Motor,118,626,0.18849840255591055,1
2021-04-01,Haryana,4-Wheelers,3,Mahindra and Mahindra,171,626,0.2731629392971246,1
2021-04-01,Haryana,4-Wheelers,3,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Haryana,4-Wheelers,3,PCA Automobiles,0,626,0.0,0
2021-04-01,Haryana,4-Wheelers,3,Tata Motors,322,626,0.5143769968051118,2
2021-04-01,Haryana,4-Wheelers,3,Volvo Auto India,0,626,0.0,0
2021-04-01,Himachal Pradesh,2-Wheelers,9,AMPERE,751,5689,0.13200914044647566,1
2021-04-01,Himachal Pradesh,2-Wheelers,9,ATHER,903,5689,0.15872736860608191,1
2021-04-01,Himachal Pradesh,2-Wheelers,9,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Himachal Pradesh,2-Wheelers,9,BEING,171,5689,0.03005800667955704,0
2021-04-01,Himachal Pradesh,2-Wheelers,9,HERO ELECTRIC,759,5689,0.13341536298119178,1
2021-04-01,Himachal Pradesh,2-Wheelers,9,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Himachal Pradesh,2-Wheelers,9,OKINAWA,1251,5689,0.21989804886623307,2
2021-04-01,Himachal Pradesh,2-Wheelers,9,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Himachal Pradesh,2-Wheelers,9,OTHERS,749,5689,0.13165758481279663,1
2021-04-01,Himachal Pradesh,2-Wheelers,9,PURE EV,581,5689,0.10212691158375813,1
2021-04-01,Himachal Pradesh,2-Wheelers,9,REVOLT,138,5689,0.02425733872385305,0
2021-04-01,Himachal Pradesh,2-Wheelers,9,TVS,302,5689,0.05308490068553349,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,BMW India,0,626,0.0,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,BYD India,0,626,0.0,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,KIA Motors,0,626,0.0,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,MG Motor,118,626,0.18849840255591055,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,Mahindra and Mahindra,171,626,0.2731629392971246,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,PCA Automobiles,0,626,0.0,0
2021-04-01,Himachal Pradesh,4-Wheelers,1,Tata Motors,322,626,0.5143769968051118,1
2021-04-01,Himachal Pradesh,4-Wheelers,1,Volvo Auto India,0,626,0.0,0
2021-04-01,Jammu and Kashmir,2-Wheelers,22,AMPERE,751,5689,0.13200914044647566,3
2021-04-01,Jammu and Kashmir,2-Wheelers,22,ATHER,903,5689,0.15872736860608191,3
