date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration,year,month,month_name,conventional_vehicles_sold,quarter
2021-05-01,Meghalaya,2-Wheelers,0,332,0.0,2021,5,May,332,2
2021-05-01,Meghalaya,4-Wheelers,1,88,1.14,2021,5,May,87,2
2021-05-01,Mizoram,2-Wheelers,0,15,0.0,2021,5,May,15,2
2021-05-01,Mizoram,4-Wheelers,0,4,0.0,2021,5,May,4,2
2021-05-01,Nagaland,2-Wheelers,0,125,0.0,2021,5,May,125,2
2021-05-01,Nagaland,4-Wheelers,0,126,0.0,2021,5,May,126,2
2021-05-01,Odisha,2-Wheelers,28,5900,0.47,2021,5,May,5872,2
2021-05-01,Odisha,4-Wheelers,0,722,0.0,2021,5,May,722,2
2021-05-01,Puducherry,2-Wheelers,3,314,0.96,2021,5,May,311,2
2021-05-01,Puducherry,4-Wheelers,2,119,1.68,2021,5,May,117,2
2021-05-01,Punjab,2-Wheelers,21,14366,0.15,2021,5,May,14345,2
2021-05-01,Punjab,4-Wheelers,0,5202,0.0,2021,5,May,5202,2
2021-05-01,Rajasthan,2-Wheelers,33,18802,0.18,2021,5,May,18769,2
2021-05-01,Rajasthan,4-Wheelers,7,2756,0.25,2021,5,May,2749,2
2021-05-01,Sikkim,2-Wheelers,0,113,0.0,2021,5,May,113,2
2021-05-01,Sikkim,4-Wheelers,0,98,0.0,2021,5,May,98,2
2021-05-01,Tamil Nadu,2-Wheelers,237,17837,1.33,2021,5,May,17600,2
2021-05-01,Tamil Nadu,4-Wheelers,14,3413,0.41,2021,5,May,3399,2
2021-05-01,Tripura,2-Wheelers,0,2063,0.0,2021,5,May,2063,2
2021-05-01,Tripura,4-Wheelers,0,192,0.0,2021,5,May,192,2
2021-05-01,Uttar Pradesh,2-Wheelers,25,147458,0.02,2021,5,May,147433,2
2021-05-01,Uttar Pradesh,4-Wheelers,3,14016,0.02,2021,5,May,14013,2
2021-05-01,Uttarakhand,2-Wheelers,6,2957,0.2,2021,5,May,2951,2
2021-05-01,Uttarakhand,4-Wheelers,0,1145,0.0,2021,5,May,1145,2
2021-05-01,West Bengal,2-Wheelers,6,28906,0.02,2021,5,May,28900,2
2021-05-01,West Bengal,4-Wheelers,6,3962,0.15,2021,5,May,3956,2
