date,year,month,maker,vehicle_category,electric_vehicles_sold,cumulative_sales,maker_rank,market_position,leader_gap_pct,performance_vs_avg,market_share_fraction,hhi_index,market_concentration,effective_competitors,market_share_tier,share_change_status,dual_segment_presence,primary_segment,primary_segment_contribution,segment_specialization
2021-08-01,2021,August,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3900883521328545,Highly Concentrated,2.6,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-08-01,2022,August,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.4403101976877952,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-08-01,2022,August,Volvo Auto India,4-Wheelers,0,4,8.0,Top 10,100.0,-1.0,0.0,0.4403101976877952,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-08-01,2022,August,KIA Motors,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.4403101976877952,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-09-01,2021,September,BYD India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.42613266994719384,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-09-01,2021,September,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.42613266994719384,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-09-01,2021,September,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.42613266994719384,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-09-01,2021,September,Volvo Auto India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.42613266994719384,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-09-01,2021,September,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.42613266994719384,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-09-01,2022,September,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.4380610135933214,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-09-01,2022,September,Volvo Auto India,4-Wheelers,0,4,8.0,Top 10,100.0,-1.0,0.0,0.4380610135933214,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-09-01,2022,September,KIA Motors,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.4380610135933214,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-10-01,2021,October,BYD India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.43176334521543625,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-10-01,2021,October,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.43176334521543625,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
