date,year,month,quarter,months_from_start,rolling_mean_ev,ev_growth_rate,ev_penetration,ev_penetration_log,national_market_share,state_rank,growth_stage,market_concentration,region,regional_avg_penetration,state_to_region_ratio,regional_rank,market_maturity_score,adoption_velocity,adoption_velocity_capped,segment_penetration_2-wheelers,segment_penetration_4-wheelers,segment_preference_ratio,segment_preference_ratio_capped,segment_preference_ratio_log,dominant_segment,segment_growth_diff,ev_sales_growth_rank_state,ev_sales_growth_rank_region,is_early_adopter,months_since_peak,is_at_peak,is_missing_ev_growth_rate,is_missing_segment_preference_ratio,is_missing_segment_growth_diff,is_missing_regional_avg_penetration,is_missing_adoption_velocity,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Central,0.09208333333333334,0.0,8.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Meghalaya,2-Wheelers,0,1189
2021-04-01,2021,4,2,3,1.0,0.0,0.11,0.10436001532424277,0.02,17.0,Developing,0.007575757575757576,Central,0.09208333333333334,1.19,5.0,16.42,0.0,0.0,0.0,0.11,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Meghalaya,4-Wheelers,1,930
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Central,0.09208333333333334,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Mizoram,2-Wheelers,0,1507
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.09208333333333334,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Mizoram,4-Wheelers,0,281
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Central,0.09208333333333334,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Nagaland,2-Wheelers,0,561
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.09208333333333334,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Nagaland,4-Wheelers,0,747
2021-04-01,2021,4,2,3,191.0,0.0,0.52,0.41871033485818504,3.02,8.0,Developing,0.12330535829567463,South,0.767,0.68,2.0,9.7,0.0,0.0,0.52,0.1,5.2,5.2,1.824549292051046,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Odisha,2-Wheelers,191,36953
2021-04-01,2021,4,2,3,5.0,0.0,0.1,0.09531017980432487,0.08,13.0,Developing,0.03787878787878788,South,0.767,0.13,4.0,1.87,0.0,0.0,0.52,0.1,5.2,5.2,1.824549292051046,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Odisha,4-Wheelers,5,5101
2021-04-01,2021,4,2,3,18.0,0.0,0.7,0.5306282510621704,0.29,18.0,Developing,0.011620400258231117,West,0.6475,1.08,7.0,27.13,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Puducherry,2-Wheelers,18,2581
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,West,0.6475,0.0,7.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Puducherry,4-Wheelers,0,655
